ENV_ID,Value_1e-05_Seed_1,Value_1e-05_Seed_10,Value_1e-05_Seed_20,Value_1e-05_Seed_25,Value_1e-05_Seed_42,Value_0.0001_Seed_1,Value_0.0001_Seed_10,Value_0.0001_Seed_20,Value_0.0001_Seed_25,Value_0.0001_Seed_42,Value_0.001_Seed_1,Value_0.001_Seed_10,Value_0.001_Seed_20,Value_0.001_Seed_25,Value_0.001_Seed_42,Value_0.01_Seed_1,Value_0.01_Seed_10,Value_0.01_Seed_20,Value_0.01_Seed_25,Value_0.01_Seed_42,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42
0,0.0,0.015600000000000001,0.015600000000000001,0.0078000000000000005,0.015600000000000001,0.0078000000000000005,0.031200000000000002,0.0078000000000000005,0.0,0.0,0.015600000000000001,0.0078000000000000005,0.015600000000000001,0.0,0.015600000000000001,0.046900000000000004,0.0078000000000000005,0.015600000000000001,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.0625,0.0391,0.046900000000000004,0.0391
1,0.0078000000000000005,0.0078000000000000005,0.0,0.0234,0.015600000000000001,0.0078000000000000005,0.0078000000000000005,0.0,0.0,0.0078000000000000005,0.031200000000000002,0.0078000000000000005,0.0078000000000000005,0.031200000000000002,0.0,0.0859,0.0078000000000000005,0.0391,0.046900000000000004,0.031200000000000002,0.0859,0.0234,0.0703,0.046900000000000004,0.0391
2,0.031200000000000002,0.0078000000000000005,0.0391,0.0234,0.015600000000000001,0.0234,0.0078000000000000005,0.0078000000000000005,0.0,0.0078000000000000005,0.0,0.031200000000000002,0.0391,0.0078000000000000005,0.0,0.10940000000000001,0.046900000000000004,0.0391,0.031200000000000002,0.09380000000000001,0.046900000000000004,0.0625,0.0625,0.0078000000000000005,0.015600000000000001
3,0.0078000000000000005,0.015600000000000001,0.0,0.015600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031200000000000002,0.0,0.054700000000000006,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.054700000000000006,0.0859,0.0625,0.015600000000000001,0.054700000000000006,0.054700000000000006
4,0.015600000000000001,0.054700000000000006,0.031200000000000002,0.046900000000000004,0.0391,0.0078000000000000005,0.0,0.0,0.015600000000000001,0.0,0.0078000000000000005,0.0078000000000000005,0.0,0.0078000000000000005,0.0,0.0391,0.046900000000000004,0.125,0.0078000000000000005,0.0234,0.0391,0.0625,0.0391,0.054700000000000006,0.0391
5,0.015600000000000001,0.0,0.031200000000000002,0.0,0.031200000000000002,0.0078000000000000005,0.0,0.0,0.0,0.0078000000000000005,0.0,0.0,0.0,0.0078000000000000005,0.015600000000000001,0.046900000000000004,0.0391,0.046900000000000004,0.046900000000000004,0.046900000000000004,0.054700000000000006,0.0234,0.0391,0.0078000000000000005,0.0391
6,0.10160000000000001,0.0234,0.0781,0.015600000000000001,0.046900000000000004,0.0078000000000000005,0.0,0.0078000000000000005,0.0078000000000000005,0.0,0.0078000000000000005,0.0078000000000000005,0.0,0.0,0.0,0.054700000000000006,0.11720000000000001,0.0,0.046900000000000004,0.0078000000000000005,0.054700000000000006,0.0234,0.0703,0.0078000000000000005,0.0391
7,0.10940000000000001,0.015600000000000001,0.0,0.0234,0.015600000000000001,0.0078000000000000005,0.0,0.0,0.0,0.0,0.0,0.0078000000000000005,0.0,0.0,0.0,0.054700000000000006,0.046900000000000004,0.054700000000000006,0.0,0.09380000000000001,0.0859,0.0625,0.0703,0.0078000000000000005,0.0391
8,0.0,0.0781,0.0,0.031200000000000002,0.0078000000000000005,0.0,0.0078000000000000005,0.0,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005,0.0,0.015600000000000001,0.0,0.0391,0.031200000000000002,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.015600000000000001,0.046900000000000004,0.0625,0.0625,0.031200000000000002,0.0391
9,0.25,0.4219,0.125,0.1484,0.4141,0.0,0.0,0.0,0.0,0.0,0.0078000000000000005,0.0078000000000000005,0.0,0.0234,0.046900000000000004,0.0859,0.0391,0.0859,0.0625,0.0703,0.054700000000000006,0.0625,0.0625,0.046900000000000004,0.0391
