ENV_ID,Value_1_Seed_1,Value_1_Seed_10,Value_1_Seed_20,Value_1_Seed_25,Value_1_Seed_42,Value_2_Seed_1,Value_2_Seed_10,Value_2_Seed_20,Value_2_Seed_25,Value_2_Seed_42,Value_4_Seed_1,Value_4_Seed_10,Value_4_Seed_20,Value_4_Seed_25,Value_4_Seed_42,Value_8_Seed_1,Value_8_Seed_10,Value_8_Seed_20,Value_8_Seed_25,Value_8_Seed_42,Value_16_Seed_1,Value_16_Seed_10,Value_16_Seed_20,Value_16_Seed_25,Value_16_Seed_42,Value_32_Seed_1,Value_32_Seed_10,Value_32_Seed_20,Value_32_Seed_25,Value_32_Seed_42,Value_64_Seed_1,Value_64_Seed_10,Value_64_Seed_20,Value_64_Seed_25,Value_64_Seed_42
0,0.046900000000000004,0.0391,0.046900000000000004,0.0391,0.046900000000000004,0.046900000000000004,0.0703,0.0234,0.0859,0.0078000000000000005,0.046900000000000004,0.0234,0.0625,0.0391,0.031200000000000002,0.046900000000000004,0.054700000000000006,0.0234,0.031200000000000002,0.046900000000000004,0.046900000000000004,0.0391,0.046900000000000004,0.031200000000000002,0.0391,0.046900000000000004,0.0234,0.046900000000000004,0.0391,0.031200000000000002,0.054700000000000006,0.0234,0.0234,0.0625,0.0234
1,0.0625,0.046900000000000004,0.0625,0.0625,0.0625,0.0234,0.054700000000000006,0.0391,0.046900000000000004,0.0234,0.0391,0.0391,0.0781,0.015600000000000001,0.0234,0.0234,0.046900000000000004,0.054700000000000006,0.0781,0.0625,0.046900000000000004,0.046900000000000004,0.0234,0.046900000000000004,0.046900000000000004,0.0391,0.046900000000000004,0.046900000000000004,0.0234,0.0391,0.031200000000000002,0.054700000000000006,0.031200000000000002,0.0078000000000000005,0.046900000000000004
2,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.046900000000000004,0.031200000000000002,0.0625,0.046900000000000004,0.0625,0.0234,0.031200000000000002,0.046900000000000004,0.046900000000000004,0.0391,0.0859,0.0234,0.0078000000000000005,0.054700000000000006,0.031200000000000002,0.0234,0.054700000000000006,0.046900000000000004,0.0625,0.0234,0.046900000000000004,0.046900000000000004,0.0234,0.031200000000000002,0.054700000000000006,0.046900000000000004,0.046900000000000004,0.046900000000000004,0.054700000000000006,0.0234,0.046900000000000004,0.046900000000000004
3,0.09380000000000001,0.046900000000000004,0.0234,0.0391,0.046900000000000004,0.0391,0.0391,0.054700000000000006,0.046900000000000004,0.0234,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0391,0.0391,0.0625,0.0391,0.0703,0.046900000000000004,0.0625,0.0234,0.031200000000000002,0.0234,0.031200000000000002,0.0234,0.015600000000000001,0.0234,0.09380000000000001,0.0,0.046900000000000004,0.046900000000000004,0.0625,0.015600000000000001,0.0391,0.031200000000000002
4,0.0391,0.031200000000000002,0.015600000000000001,0.0391,0.0391,0.0234,0.0391,0.0234,0.0391,0.0703,0.031200000000000002,0.054700000000000006,0.046900000000000004,0.0625,0.0078000000000000005,0.046900000000000004,0.0391,0.046900000000000004,0.0391,0.054700000000000006,0.0234,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.0391,0.0234,0.0703,0.0625,0.054700000000000006,0.0703,0.0391,0.0625,0.054700000000000006,0.015600000000000001,0.046900000000000004
5,0.015600000000000001,0.031200000000000002,0.0391,0.0078000000000000005,0.0391,0.0234,0.0234,0.054700000000000006,0.0703,0.031200000000000002,0.054700000000000006,0.046900000000000004,0.0234,0.0234,0.0781,0.0859,0.0703,0.031200000000000002,0.031200000000000002,0.031200000000000002,0.015600000000000001,0.0391,0.0781,0.054700000000000006,0.0234,0.031200000000000002,0.0703,0.0625,0.0391,0.0078000000000000005,0.015600000000000001,0.031200000000000002,0.0234,0.046900000000000004,0.0391
6,0.054700000000000006,0.015600000000000001,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.046900000000000004,0.031200000000000002,0.054700000000000006,0.031200000000000002,0.0391,0.031200000000000002,0.0781,0.0234,0.0234,0.0703,0.0703,0.015600000000000001,0.031200000000000002,0.0391,0.0391,0.0078000000000000005,0.046900000000000004,0.015600000000000001,0.0391,0.054700000000000006,0.046900000000000004,0.0234,0.0234,0.0234,0.015600000000000001,0.0391,0.054700000000000006,0.015600000000000001,0.0234,0.015600000000000001
7,0.054700000000000006,0.054700000000000006,0.031200000000000002,0.054700000000000006,0.0234,0.031200000000000002,0.031200000000000002,0.0234,0.054700000000000006,0.046900000000000004,0.0234,0.0078000000000000005,0.031200000000000002,0.0391,0.0234,0.0391,0.046900000000000004,0.0234,0.031200000000000002,0.031200000000000002,0.0391,0.0391,0.0234,0.0234,0.054700000000000006,0.0234,0.0391,0.054700000000000006,0.0391,0.0391,0.015600000000000001,0.031200000000000002,0.0625,0.0391,0.0391
8,0.0234,0.054700000000000006,0.0391,0.031200000000000002,0.0234,0.0234,0.031200000000000002,0.0234,0.0234,0.0234,0.0234,0.054700000000000006,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0703,0.0391,0.015600000000000001,0.046900000000000004,0.0859,0.0391,0.031200000000000002,0.0078000000000000005,0.0391,0.031200000000000002,0.0703,0.0234,0.0078000000000000005,0.015600000000000001,0.031200000000000002,0.0078000000000000005,0.0625,0.031200000000000002,0.031200000000000002,0.0234
9,0.046900000000000004,0.046900000000000004,0.031200000000000002,0.0234,0.0391,0.031200000000000002,0.0234,0.0234,0.031200000000000002,0.0078000000000000005,0.031200000000000002,0.0234,0.0234,0.031200000000000002,0.0703,0.0703,0.0391,0.046900000000000004,0.0234,0.0391,0.0234,0.0391,0.0391,0.0234,0.031200000000000002,0.031200000000000002,0.0234,0.031200000000000002,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.046900000000000004,0.054700000000000006,0.0391,0.0703
