ENV_ID,Value_1e-05_Seed_1,Value_1e-05_Seed_10,Value_1e-05_Seed_20,Value_1e-05_Seed_25,Value_1e-05_Seed_42,Value_0.0001_Seed_1,Value_0.0001_Seed_10,Value_0.0001_Seed_20,Value_0.0001_Seed_25,Value_0.0001_Seed_42,Value_0.001_Seed_1,Value_0.001_Seed_10,Value_0.001_Seed_20,Value_0.001_Seed_25,Value_0.001_Seed_42,Value_0.01_Seed_1,Value_0.01_Seed_10,Value_0.01_Seed_20,Value_0.01_Seed_25,Value_0.01_Seed_42,Value_0.1_Seed_1,Value_0.1_Seed_10,Value_0.1_Seed_20,Value_0.1_Seed_25,Value_0.1_Seed_42
0,0.5547000000000001,0.8125,0.7734000000000001,0.6406000000000001,0.5703,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.10940000000000001,0.0625,0.09380000000000001,0.0625,0.0625,0.0625,0.0703,0.0391,0.1328,0.0781
1,0.0859,0.38280000000000003,0.7656000000000001,0.46090000000000003,0.3516,0.0,0.0,0.0,0.0,0.0078000000000000005,0.015600000000000001,0.015600000000000001,0.0,0.0,0.015600000000000001,0.10940000000000001,0.0703,0.0703,0.0859,0.0625,0.031200000000000002,0.11720000000000001,0.0859,0.10160000000000001,0.10160000000000001
2,0.0234,0.44530000000000003,0.10160000000000001,0.25780000000000003,0.1875,0.0,0.0,0.0,0.0,0.015600000000000001,0.0078000000000000005,0.031200000000000002,0.0078000000000000005,0.0,0.0,0.0781,0.054700000000000006,0.0781,0.0391,0.0234,0.054700000000000006,0.054700000000000006,0.0781,0.0391,0.0391
3,0.0078000000000000005,0.125,0.0625,0.1328,0.015600000000000001,0.0078000000000000005,0.015600000000000001,0.0,0.0,0.0078000000000000005,0.015600000000000001,0.015600000000000001,0.0391,0.015600000000000001,0.015600000000000001,0.054700000000000006,0.09380000000000001,0.0781,0.0781,0.054700000000000006,0.0391,0.0703,0.0703,0.054700000000000006,0.0703
4,0.0234,0.0391,0.031200000000000002,0.0391,0.0234,0.0,0.0078000000000000005,0.0703,0.0078000000000000005,0.0,0.0,0.0234,0.0234,0.015600000000000001,0.0,0.031200000000000002,0.0391,0.0625,0.0391,0.0781,0.046900000000000004,0.0391,0.0234,0.0391,0.0859
5,0.0,0.031200000000000002,0.0078000000000000005,0.031200000000000002,0.015600000000000001,0.0078000000000000005,0.054700000000000006,0.0,0.015600000000000001,0.0,0.0234,0.0078000000000000005,0.0078000000000000005,0.015600000000000001,0.031200000000000002,0.054700000000000006,0.0703,0.054700000000000006,0.0234,0.0391,0.0859,0.0625,0.0391,0.046900000000000004,0.054700000000000006
6,0.0,0.0234,0.0078000000000000005,0.0078000000000000005,0.0391,0.0,0.0078000000000000005,0.0234,0.0078000000000000005,0.0078000000000000005,0.015600000000000001,0.015600000000000001,0.0078000000000000005,0.031200000000000002,0.0078000000000000005,0.0625,0.054700000000000006,0.0234,0.0625,0.046900000000000004,0.0703,0.054700000000000006,0.054700000000000006,0.054700000000000006,0.046900000000000004
7,0.0078000000000000005,0.015600000000000001,0.015600000000000001,0.015600000000000001,0.0078000000000000005,0.015600000000000001,0.0,0.015600000000000001,0.0078000000000000005,0.0,0.0078000000000000005,0.0078000000000000005,0.0391,0.015600000000000001,0.015600000000000001,0.054700000000000006,0.054700000000000006,0.031200000000000002,0.031200000000000002,0.0234,0.0391,0.0625,0.031200000000000002,0.0625,0.0234
8,0.0,0.031200000000000002,0.0234,0.0078000000000000005,0.0,0.0,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005,0.0078000000000000005,0.0234,0.0078000000000000005,0.046900000000000004,0.015600000000000001,0.0,0.054700000000000006,0.031200000000000002,0.015600000000000001,0.0703,0.046900000000000004,0.0391,0.031200000000000002,0.0234,0.0234,0.0234
9,0.015600000000000001,0.0234,0.0078000000000000005,0.0078000000000000005,0.0234,0.0,0.0078000000000000005,0.0078000000000000005,0.0,0.0,0.0,0.0,0.0234,0.0,0.0234,0.0625,0.046900000000000004,0.0234,0.0234,0.0391,0.031200000000000002,0.015600000000000001,0.015600000000000001,0.0703,0.0391
